#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-111923	-105268	-113053	-104020	-107235	-116687	-103397	-109187	-102239	-110976
2	-111829	-105297	-112985	-103908	-107346	-116891	-103532	-109143	-102391	-111127
3	-111677	-105130	-112997	-103770	-107412	-117249	-103528	-109024	-102177	-111318
4	-111559	-104903	-112919	-103717	-107395	-117235	-103420	-109130	-102001	-111402
5	-111518	-104832	-112955	-103476	-107461	-117414	-103258	-109279	-101870	-111616
6	-111353	-104858	-112907	-103462	-107627	-117415	-102946	-109212	-101668	-111677
7	-111462	-104946	-112951	-103530	-107668	-117439	-102761	-109168	-101487	-111942
8	-111384	-105080	-112772	-103526	-107809	-117442	-102543	-109343	-101352	-112096
9	-111313	-105240	-112647	-103399	-107802	-117378	-102324	-109350	-101357	-112221
10	-111097	-105487	-112745	-103445	-107699	-117181	-102321	-109297	-101345	-112408
11	-110944	-105611	-112843	-103336	-107673	-117201	-102443	-109342	-101320	-112470
12	-110875	-105749	-113121	-103344	-107632	-117146	-102442	-109490	-101312	-112355
13	-110707	-105805	-113387	-103214	-107743	-117166	-102548	-109548	-101323	-112406
14	-110438	-105860	-113439	-103252	-107927	-117454	-102299	-109671	-101146	-112382
15	-110410	-105734	-113416	-103265	-108010	-117591	-102078	-109549	-100939	-112428
16	-110293	-105813	-113570	-103377	-108115	-117668	-101982	-109478	-100941	-112545
17	-110174	-105926	-113604	-103193	-108238	-117818	-101772	-109559	-100933	-112789
18	-110044	-105973	-113515	-102988	-108340	-117647	-101552	-109608	-100815	-113082
19	-109735	-105988	-113138	-102826	-108303	-117684	-101401	-109532	-100751	-113188
20	-109784	-106257	-112909	-102775	-108225	-117680	-101287	-109535	-100834	-113258
21	-109888	-106465	-112863	-102632	-108224	-117767	-101178	-109672	-100948	-113476
22	-109971	-106619	-113182	-102566	-108411	-117904	-101233	-109700	-100837	-113371
23	-109890	-106646	-113325	-102545	-108441	-117862	-101268	-109669	-100874	-113326
24	-109921	-106659	-113266	-102606	-108411	-117845	-101011	-109724	-100910	-113371
25	-109762	-106655	-113277	-102636	-108495	-117900	-100807	-109756	-101048	-113491
26	-109692	-106752	-113432	-102696	-108468	-117838	-100701	-109649	-101018	-113534
27	-109708	-106767	-113420	-102864	-108457	-117943	-100767	-109631	-101056	-113388
28	-109619	-106735	-113271	-102788	-108480	-117946	-100667	-109463	-100844	-113220
29	-109557	-106943	-113434	-102959	-108466	-117855	-100778	-109470	-100938	-113133
30	-109471	-107035	-113459	-102788	-108606	-118003	-100742	-109670	-101087	-112981
31	-109401	-107319	-113496	-102650	-108704	-117959	-100890	-109548	-101052	-112910
32	-109428	-107617	-113460	-102619	-108685	-118060	-100970	-109590	-101107	-112907
33	-109411	-107731	-113379	-102564	-108551	-118044	-101131	-109628	-101144	-112889
34	-109517	-107883	-113426	-102617	-108390	-118000	-101201	-109626	-101121	-112927
35	-109626	-108022	-113663	-102751	-108210	-117873	-101140	-109484	-101150	-112863
36	-109763	-108121	-113868	-102833	-108107	-117714	-100992	-109445	-101264	-112803
37	-109507	-107997	-114132	-102845	-108227	-117735	-100926	-109343	-101383	-112665
38	-109515	-107881	-114336	-102806	-108267	-117796	-100858	-109219	-101450	-112579
39	-109441	-108096	-114350	-103004	-108327	-117846	-100891	-109137	-101415	-112513
40	-109306	-108103	-114348	-103086	-108189	-117945	-100869	-108688	-101509	-112297
41	-109318	-108192	-114571	-103016	-108044	-118087	-100889	-108773	-101707	-112366
42	-109373	-108270	-114730	-102963	-108158	-118060	-101021	-108612	-101698	-112301
43	-109388	-108282	-114901	-102948	-108252	-118133	-100966	-108507	-101710	-112242
44	-109442	-108631	-115054	-102948	-108227	-117912	-101024	-108331	-101821	-112199
45	-109483	-108647	-115255	-102926	-108331	-117790	-101069	-108218	-101995	-112182
46	-109454	-108716	-115599	-102950	-108642	-117475	-101257	-108228	-101997	-112149
47	-109414	-108847	-115548	-102969	-108680	-117378	-101160	-108392	-101943	-112044
48	-109422	-108824	-115599	-102966	-108901	-117316	-101101	-108453	-101999	-112216
49	-109734	-108748	-115674	-103030	-108902	-117190	-101216	-108395	-102047	-112265
50	-109759	-108839	-115812	-103265	-108571	-117374	-101374	-108251	-102114	-112211
51	-109748	-108938	-115884	-103447	-108420	-117172	-101360	-108201	-102140	-112254
52	-109723	-108879	-115960	-103415	-108305	-117065	-101317	-108251	-102286	-112050
53	-109726	-108856	-116256	-103516	-108394	-116943	-101445	-108292	-102212	-111900
54	-109946	-108836	-116284	-103524	-108544	-116835	-101541	-108300	-102418	-111694
55	-109878	-108953	-116245	-103646	-108771	-116628	-101669	-108284	-102521	-111503
56	-109861	-109042	-116290	-103748	-108726	-116455	-101898	-108227	-102538	-111350
57	-109917	-109153	-116308	-103659	-108645	-116442	-101774	-108234	-102420	-111370
58	-109891	-109296	-116323	-103498	-108720	-116415	-101780	-108129	-102309	-111367
59	-110040	-109234	-116353	-103486	-108526	-116491	-101941	-108112	-102527	-111223
60	-109950	-109267	-116337	-103516	-108584	-116571	-101996	-108024	-102460	-111237
61	-109857	-109256	-116299	-103517	-108517	-116697	-101905	-108033	-102459	-111129
62	-109722	-109100	-116471	-103563	-108426	-116836	-101770	-108033	-102205	-110933
63	-109523	-109052	-116616	-103685	-108492	-116934	-101777	-108012	-102174	-110841
64	-109631	-109123	-116809	-103817	-108783	-117206	-101768	-107901	-102274	-110726
65	-109638	-109082	-117055	-103848	-108847	-117137	-102032	-107768	-102314	-110714
66	-109674	-109077	-117144	-103887	-109035	-116830	-102122	-107675	-102315	-110655
67	-109789	-109248	-117234	-103874	-109117	-116869	-102058	-107678	-102290	-110714
68	-109741	-109275	-117228	-103960	-109109	-116690	-102176	-107598	-102302	-110668
69	-109958	-109391	-117358	-103986	-109204	-116509	-102218	-107531	-102301	-110568
70	-110079	-109477	-117444	-104156	-109381	-116513	-102202	-107847	-102183	-110416
71	-110224	-109476	-117276	-104124	-109437	-116478	-102338	-108129	-102211	-110413
