#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-175907	-186347	-177534	-185862	-177599	-179302	-173606	-185495	-175391	-189553
2	-176087	-186132	-177688	-185758	-177394	-179451	-173478	-185048	-175570	-189446
3	-176305	-186185	-177816	-185717	-177400	-179654	-173517	-184784	-175706	-189560
4	-176575	-186288	-178086	-185624	-177522	-179819	-173736	-184641	-175770	-189447
5	-176693	-186305	-178326	-185408	-177486	-179864	-174004	-184485	-175953	-189285
6	-176551	-186235	-178413	-185237	-177554	-180075	-174176	-184290	-176158	-189396
7	-176414	-186131	-178775	-185103	-177896	-180112	-174320	-184204	-176067	-189273
8	-176437	-185989	-178986	-185168	-178035	-180374	-174461	-184133	-175977	-189159
9	-176609	-186149	-179023	-185175	-178024	-180703	-174164	-184052	-175916	-189358
10	-176676	-186560	-178746	-185145	-178114	-180943	-174068	-183881	-175969	-189461
11	-176741	-186822	-178666	-185456	-178331	-180960	-174053	-183555	-175821	-189283
12	-176743	-186888	-178742	-185557	-178499	-180845	-174282	-183519	-175645	-188988
13	-176811	-187177	-178843	-185771	-178483	-180859	-174418	-183468	-175821	-189029
14	-176890	-187237	-178865	-185931	-178292	-180676	-174613	-183302	-176055	-189128
15	-176969	-187263	-178967	-186123	-178197	-180508	-174599	-183239	-176312	-189162
16	-176907	-187553	-178825	-186271	-178281	-180383	-174635	-183328	-176292	-189116
17	-176846	-187700	-178755	-186374	-178504	-180373	-174598	-183286	-176336	-189101
18	-176980	-187943	-179058	-186544	-178839	-180377	-174614	-183379	-176342	-188931
19	-177008	-187858	-179275	-186407	-179118	-180262	-174741	-183566	-176030	-188788
20	-177122	-187816	-179395	-186415	-179159	-180602	-174851	-183345	-175952	-188547
21	-177265	-187911	-179392	-186562	-179237	-180689	-174972	-183353	-175757	-188517
22	-177193	-187860	-179085	-186459	-179386	-180820	-174970	-183559	-175465	-188236
23	-177222	-187818	-179063	-186523	-179543	-180994	-175134	-183394	-175562	-188121
24	-177292	-187648	-178970	-186653	-179534	-180908	-175108	-183235	-175563	-188219
25	-177256	-187802	-178876	-186733	-179549	-180746	-175182	-183190	-175515	-188464
26	-177311	-187881	-178871	-186532	-179445	-180891	-175435	-183236	-175606	-188617
27	-177501	-187732	-178562	-186627	-179390	-180909	-175454	-183185	-175710	-188554
28	-177747	-187809	-178532	-186763	-179450	-180961	-175871	-183333	-175383	-188299
29	-177757	-187752	-178459	-186860	-179432	-180885	-176213	-183352	-175185	-188367
30	-177770	-187785	-178448	-186951	-179657	-180973	-176301	-183594	-175266	-187977
