#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-128488	-144939	-116553	-136141	-143009	-132301	-125769	-134494	-147179	-138216
2	-128454	-144836	-116670	-136195	-143279	-132340	-125715	-134569	-147174	-138406
3	-128586	-144706	-116624	-136146	-143366	-132494	-125740	-134630	-147240	-138260
4	-128690	-144410	-116539	-136095	-143615	-132393	-125438	-134599	-147091	-138313
5	-128557	-144260	-116422	-136092	-143833	-132435	-125304	-134791	-147190	-138272
6	-128531	-143963	-116701	-136157	-143859	-132210	-125283	-134484	-147372	-138240
7	-128549	-144004	-116688	-136248	-143813	-132025	-125256	-134365	-147405	-138342
8	-128506	-144059	-116719	-136437	-143795	-132140	-125215	-134290	-147667	-138404
9	-128365	-143958	-116844	-136476	-143760	-132031	-124964	-134241	-147858	-138372
10	-128493	-143904	-117047	-136633	-143783	-132227	-124861	-134432	-147834	-138238
11	-128372	-143812	-117171	-136831	-144118	-132425	-124890	-134565	-148056	-138396
12	-128207	-143687	-117259	-136823	-144243	-132644	-125036	-134691	-147919	-138549
13	-128276	-143563	-117295	-136827	-144434	-132735	-125023	-134706	-147969	-138573
14	-128387	-143366	-117369	-136892	-144597	-132753	-124975	-134938	-148150	-138606
15	-128381	-143195	-117391	-136999	-144695	-132569	-125147	-135084	-148246	-138636
16	-128445	-143087	-117369	-137044	-144827	-132620	-125299	-135233	-148307	-138695
17	-128558	-143169	-117322	-137128	-144763	-132604	-125311	-135459	-148375	-138812
18	-128687	-143095	-117449	-137131	-144688	-132551	-125301	-135471	-148357	-138951
19	-128493	-143112	-117758	-137237	-144705	-132578	-125387	-135598	-148209	-139046
20	-128386	-143267	-117854	-137383	-144571	-132670	-125471	-135686	-148357	-139046
21	-128275	-143132	-117987	-137351	-144712	-132877	-125473	-135844	-148362	-139098
22	-127991	-143166	-118137	-137275	-144663	-132736	-125534	-136017	-148480	-139099
23	-127721	-142906	-118427	-137078	-144708	-132649	-125749	-136171	-148475	-139117
24	-127936	-142957	-118382	-136969	-144742	-132420	-125729	-136172	-148491	-139087
25	-127883	-143018	-118461	-136963	-144901	-132486	-125739	-136271	-148768	-138883
26	-127867	-142996	-118590	-137001	-145106	-132425	-125813	-136349	-148896	-138782
