#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-134381	-136795	-125822	-130692	-124207	-132721	-134766	-148594	-137138	-136682
2	-134302	-136848	-125813	-130816	-124357	-132977	-134797	-148662	-136848	-136699
3	-134398	-136901	-125987	-130735	-124317	-133124	-134958	-148472	-136815	-136510
4	-134253	-136884	-126312	-130556	-124183	-133128	-134947	-148563	-136998	-136745
5	-134330	-136979	-126211	-130281	-124227	-133085	-134734	-148597	-137105	-136815
6	-134308	-137012	-126355	-130228	-124370	-133133	-134803	-148630	-137462	-137073
7	-134243	-136872	-126334	-129988	-124357	-133104	-134770	-148727	-137599	-137151
8	-134460	-136790	-126319	-130026	-124150	-133257	-134799	-148797	-137782	-137089
9	-134431	-136994	-126496	-130041	-124035	-133316	-134887	-148645	-137919	-137033
10	-134482	-137009	-126515	-130325	-123947	-133349	-134955	-148554	-137940	-137082
11	-134422	-137207	-126661	-130688	-123967	-133460	-135088	-148608	-138116	-136975
12	-134404	-137070	-126570	-130875	-124112	-133616	-135179	-148575	-138033	-136699
13	-134696	-136973	-126564	-131081	-124166	-133510	-135164	-148668	-137760	-136779
14	-134886	-137049	-126496	-131041	-124130	-133667	-135131	-148964	-137687	-136679
15	-134892	-137136	-126610	-131182	-124214	-133932	-135219	-149263	-137386	-136765
16	-134906	-137426	-126580	-131320	-124280	-134017	-135249	-149382	-137195	-136729
17	-134840	-137432	-126640	-131278	-124379	-134086	-135255	-149252	-137033	-136677
18	-134710	-137449	-126623	-131127	-124476	-134208	-135512	-149281	-137054	-136809
19	-134536	-137363	-126494	-131026	-124441	-134082	-135570	-149146	-137101	-136784
20	-134218	-137393	-126438	-131093	-124407	-134021	-135498	-148999	-136975	-136788
21	-133904	-137375	-126391	-131063	-124709	-134111	-135574	-148932	-136704	-136767
22	-133941	-137494	-126366	-130880	-124670	-134196	-135525	-148641	-136542	-136621
23	-134123	-137742	-126437	-130976	-124600	-134162	-135690	-148437	-136485	-136604
24	-134193	-137866	-126381	-130921	-124495	-133815	-135650	-148314	-136500	-136491
25	-134288	-137787	-126455	-130864	-124592	-133686	-135687	-148244	-136314	-136586
26	-134331	-137866	-126589	-130637	-124628	-133689	-135795	-148491	-136342	-136507
27	-134506	-137805	-126722	-130674	-124743	-133780	-135951	-148470	-136199	-136318
28	-134566	-137876	-126708	-130714	-124650	-133960	-136018	-148305	-136123	-136210
29	-134498	-137973	-126657	-130858	-124652	-134120	-136182	-148395	-135992	-136570
30	-134518	-138164	-126490	-130939	-124551	-134227	-136383	-148215	-135967	-136850
31	-134640	-138151	-126424	-130967	-124625	-134325	-136672	-148080	-135784	-137005
32	-134792	-138102	-126274	-131007	-124417	-134492	-136802	-147934	-135650	-137092
33	-134878	-137963	-126519	-131043	-124216	-134613	-136875	-147747	-135702	-137222
34	-135101	-137890	-126701	-130842	-124273	-134623	-136910	-147503	-135652	-137186
35	-135388	-137888	-127021	-130861	-124379	-134831	-137025	-147407	-135536	-136982
36	-135541	-138025	-127093	-130854	-124432	-134726	-137158	-147417	-135734	-136783
37	-135619	-138165	-127022	-130907	-124544	-134813	-137232	-147281	-135922	-136769
38	-135659	-138289	-127073	-130796	-124768	-134740	-137294	-147341	-136007	-136818
39	-135736	-138567	-126887	-130734	-124735	-134699	-137207	-147253	-136131	-136663
40	-135814	-138924	-126841	-130591	-124672	-134611	-137337	-147244	-136462	-136820
41	-135945	-139260	-126808	-130380	-124701	-134704	-137336	-147195	-136550	-136891
42	-136054	-139567	-126787	-130283	-124713	-134790	-137285	-147062	-136452	-136964
43	-136021	-139561	-126653	-130365	-124868	-134881	-137632	-146953	-136300	-137188
44	-136132	-139587	-126633	-130338	-124962	-134913	-137730	-146914	-136535	-137216
45	-136225	-139736	-126454	-130469	-124821	-135104	-137737	-146957	-136579	-136945
46	-136509	-139853	-126087	-130616	-124677	-135105	-137884	-146928	-136538	-136817
47	-136570	-139754	-126010	-130657	-124631	-135031	-138129	-146962	-136528	-136527
48	-136590	-139821	-125938	-130714	-124604	-134892	-138100	-146822	-136407	-136265
49	-136570	-140074	-125890	-130837	-124665	-134916	-138018	-146786	-136543	-136346
50	-136667	-140005	-125814	-130806	-124573	-134887	-137936	-146685	-136768	-136541
51	-136776	-139879	-125771	-130661	-124547	-134814	-137782	-146536	-136741	-136654
52	-136581	-139945	-125565	-130538	-124554	-134663	-137813	-146426	-136622	-136692
53	-136690	-139943	-125609	-130367	-124846	-134546	-137937	-146389	-136647	-136676
54	-136748	-139988	-125486	-130220	-124979	-134579	-138152	-146452	-136925	-136867
55	-136832	-139867	-125265	-130038	-125310	-134600	-138186	-146510	-137029	-136950
56	-136839	-139800	-125051	-130081	-125229	-134491	-138331	-146400	-137109	-136766
57	-137104	-139924	-124982	-129922	-125533	-134442	-138495	-146290	-136992	-136834
58	-137165	-140177	-124896	-129758	-125619	-134348	-138688	-146179	-137103	-136706
59	-137378	-140099	-124822	-129994	-125614	-134189	-138731	-145918	-136983	-136602
60	-137649	-140023	-124694	-130303	-125823	-134182	-138715	-145835	-136907	-136446
61	-137901	-140086	-124839	-130305	-125641	-134112	-138765	-145884	-136858	-136518
62	-138259	-139990	-124913	-130316	-125961	-134142	-138680	-146046	-136825	-136625
63	-138584	-139933	-125003	-130199	-126061	-134351	-138527	-146049	-136826	-136821
64	-138534	-139716	-124898	-130240	-125830	-134142	-138497	-146232	-136898	-137003
65	-138650	-139652	-124742	-130329	-125797	-134025	-138423	-146173	-137039	-137065
66	-138801	-139431	-124599	-130462	-125681	-133935	-138479	-146174	-136879	-136888
67	-138943	-139401	-124570	-130299	-125683	-133836	-138696	-146072	-136797	-136744
68	-139146	-139286	-124741	-130111	-125824	-133609	-138781	-145927	-136758	-136861
69	-139036	-139170	-124664	-129948	-125705	-133686	-138851	-145914	-136773	-136682
